Latin,English
et,and
quī quae quod,"who, which, what"
que,and (postpositive enclitic)
in,"in, on (+ abl.); into, onto (+ acc)"
nōn,not
ille illa illud,that
tū tuī tibi tē,you (sing.)
cum,"with (prep. + abl.); when, since, although (conjunction + subj.)"
ego meī mihi mē,"I, me"
is ea id,"he, she, it"
ad,"to, up to, towards (+acc.)"
"ut, utī","as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!"
sui sibi sē/sēsē,"him- her- itself, themselves"
omnis -e,"all, every, as a whole"
nec,"and not, nor; nec ... nec, neither ... nor; → neque"
sed,but
ā ab abs,"from, by (+abl.)"
ipse ipsa ipsum,him- her- itself
possum posse potuī,be able
aut,or
māgnus -a -um,great
"ex, ē","out of, from (+ abl.)"
suus -a -um,"his own, her own, its own"
dō dare dedī datum,give
quam,how?
per,through (+acc.)
videō vidēre vīdī vīsum,see
faciō facere fēcī factum,"do, make"
dīcō dīcere dīxī dictum,"say; causam dīcere, plead a case; diem dīcere, appoint a day"
iam,now
atque,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac"
ac,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque"
alius -a -ud,"other, another; ālias: at another time"
rēs reī f.,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)"
habeō habēre habuī habitum,"have, hold"
animus -ī m.,"spirit, mind"
meus -a -um,my
multus -a -um,"much, many; multō, by far"
tuus -a -um,your
ferō ferre tulī lātum,"bear, carry, endure"
dē,"down from, about, concerning (+ abl.)"
nē,"lest, that not"
manus -ūs f.,hand
nūllus -a -um,"not any, no one"
nunc,now
nōs nostrum/nostrī nōbīs nōs,we
noster nostra nostrum,our
ūnus -a -um,one
diēs diēī m./f.,day
"nihil, nīl",nothing
tum or tunc,then
enim,"for, indeed"
tamen,"nevertheless, still"
īdem eadem idem,the same
rēx rēgis m.,king
nam or namque,"for, indeed, really"
